Entity,Code,Year,Traditional biomass,Coal,Oil,Gas,Biofuels,Solar,Wind,Hydropower,Nuclear,Other renewables
World,OWID_WRL,1980,269121,369432.2569999999,486542.7420000001,178168.6399,247.11944900000003,0.0,0.057661247,66009.435944,12359.582465000001,1579.144797
World,OWID_WRL,1981,279227,390581.9369999999,520810.78200000006,192564.5129,276.86737200000005,0.0,0.08870958,71240.064344,14745.225265000001,1744.052397
World,OWID_WRL,1982,289440,411967.3879999999,554018.8520000001,207034.2469,314.42361600000004,0.0,0.14341374299999998,76565.329944,17333.542665,1935.285297
World,OWID_WRL,1983,299761,434013.73399999994,586975.4650000001,221738.0799,363.44285600000006,0.008870971,0.24038819299999997,82117.872444,20267.001665,2147.055877
World,OWID_WRL,1984,310191,457014.8119999999,620655.5950000001,237640.7599,421.24927900000006,0.027532859,0.372729863,87858.49244399999,23826.858365,2383.376527
World,OWID_WRL,1985,320732,481002.6379999999,654322.6930000001,253902.9819,489.6593690000001,0.062270079,0.562628193,93711.09744399998,28051.695765,2626.531477
World,OWID_WRL,1986,331385,505260.6729999999,689035.5950000001,270324.0919,573.8623590000001,0.10716840899999999,0.973150993,99643.01004399998,32576.782165,2890.2168970000002
World,OWID_WRL,1987,342150,530473.0989999999,724439.9550000001,287605.9869,659.192479,0.13852146199999998,1.550877953,105655.12574399998,37499.113165,3172.660197
World,OWID_WRL,1988,353029,556440.2279999999,760991.415,305694.8349,748.7526750000001,0.16867090499999998,2.5313559530000003,111859.92944399998,42865.56116500001,3463.521127
World,OWID_WRL,1989,364024,582655.9019999999,798155.458,324583.5109,844.4419150000001,0.944062245,10.366716953000001,118032.90444399999,48384.557165000006,3785.871557
World,OWID_WRL,1990,375135,608562.5269999999,835832.0279999999,344064.6359,951.0847950000001,2.092408745,21.107892953,124416.61244399998,54061.277865000004,4147.062937
World,OWID_WRL,1991,386378,634220.7089999999,873495.0709999999,364037.4759,1061.813509,3.586643145,33.190465953,130947.72044399998,60009.588865000005,4523.8755869999995
World,OWID_WRL,1992,397754,659779.1309999999,911642.2389999998,384100.9599,1170.609839,4.966608145,47.185339952999996,137478.110444,66003.052265,4928.656746999999
World,OWID_WRL,1993,409265,685468.063,949603.5829999999,404366.44190000003,1285.054149,6.6126975450000005,64.052504953,144401.781444,72202.92186500001,5346.895276999999
World,OWID_WRL,1994,420912,711256.9909999999,988385.6379999999,424756.05490000005,1409.229434,8.377969845,85.140952953,151369.048044,78519.169865,5781.547926999999
World,OWID_WRL,1995,432697,737223.3479999999,1027846.4079999999,445860.54890000005,1540.431064,10.267139345,109.601532953,158713.283444,85109.382865,6235.8026869999985
World,OWID_WRL,1996,444622,763808.3359999999,1068181.048,468019.80490000005,1666.344284,12.334754845,136.851963953,166156.114044,91938.188565,6702.1320369999985
World,OWID_WRL,1997,456688,790348.4749999999,1109634.493,490050.1979,1796.527344,14.551479045,172.419270953,173730.024644,98720.031565,7202.073836999998
World,OWID_WRL,1998,468897,816720.9539999999,1151304.673,512484.19590000005,1930.067234,16.952116645,219.521920953,181362.369644,105618.583565,7722.623836999998
World,OWID_WRL,1999,481311,843206.3269999999,1193687.893,535556.0979,2065.498114,19.629043245,282.28962895300003,189052.463644,112779.635765,8268.770076999997
World,OWID_WRL,2000,493811,870640.9539999999,1236665.933,559550.3559000001,2198.415944,22.761769644999998,375.16758895300006,196878.810644,120102.318365,8840.421076999997
World,OWID_WRL,2001,506311,898505.8989999999,1280043.153,583867.1879000001,2329.7701939999997,26.944558044999997,487.92016895300003,204454.59334400002,127582.875365,9434.120236999997
World,OWID_WRL,2002,518781,927468.8499999999,1323719.196,608897.3599000002,2488.772134,32.196932045,640.814208953,212120.34534400003,135133.952065,10073.314696999998
World,OWID_WRL,2003,531110,958975.0099999999,1368371.416,634626.9769000001,2667.0990239999996,38.738570044999996,824.347688953,219727.52534400002,142484.608265,10748.092996999998
World,OWID_WRL,2004,543270,992660.5299999999,1414759.228,661348.1159000001,2877.3161739999996,47.30236304499999,1071.070348953,227844.028744,150120.37776499998,11477.471656999998
World,OWID_WRL,2005,555346,1028843.8779999999,1461646.9819999998,688786.3969,3123.8417439999994,59.29344304499999,1370.662818953,236180.37274400002,157727.73126499998,12267.470196999999
World,OWID_WRL,2006,567339,1066912.7449999999,1509034.9859999998,716947.8069000001,3430.3610639999993,75.69101304499999,1750.5323589529999,244779.89074400003,165381.45296499997,13108.759137
World,OWID_WRL,2007,579250,1107143.987,1556977.9559999998,746263.5429000001,3827.696863999999,97.799509045,2235.492838953,253467.78674400004,172832.28896499999,14021.934737
World,OWID_WRL,2008,591079,1147924.067,1604515.7529999998,776289.7029000001,4366.163903999999,133.482172045,2857.683338953,262605.25874400005,180213.89056499998,14998.598537
World,OWID_WRL,2009,602826,1188068.267,1651004.9229999997,805695.0529000001,4976.817403999999,192.334398045,3630.700838953,271671.64574400004,187446.120565,16047.761737
World,OWID_WRL,2010,614493,1230005.747,1698976.3329999996,837288.7479000001,5676.580504,286.46055804499997,4592.186838953,281192.24774400005,194819.211565,17221.665637000002
World,OWID_WRL,2011,626046,1273901.685,1747288.9529999997,869637.9859000001,6411.962033999999,467.562398045,5807.8651389530005,290827.32974400005,201840.697865,18454.052137000002
World,OWID_WRL,2012,637487,1317924.208,1796402.6409999998,902840.9899,7174.433773999999,745.927848045,7262.471338953001,300813.0447440001,208341.066565,19789.027137
World,OWID_WRL,2013,648817,1362594.833,1845992.951,936582.8999000001,8003.084403999999,1123.651478045,8994.495138953,311137.24674400006,214853.873165,21231.086137000002
World,OWID_WRL,2014,660037,1407452.9530000002,1895927.6349999998,970560.2599000001,8881.953803999999,1658.052238045,10906.816138953,321672.98674400005,221459.881165,22791.993837
World,OWID_WRL,2015,671148,1451122.7830000003,1946891.6549999998,1005348.2829000001,9794.931643999998,2347.3978780449997,13145.688738953,332120.24774400005,228114.987165,24480.639737
World,OWID_WRL,2016,682259,1493837.9230000002,1998884.2149999999,1040940.8529,10748.660743999999,3226.577018045,15721.358138953,342866.9787440001,234829.142165,26195.479937
World,OWID_WRL,2017,693370,1536967.7900000003,2051750.6749999998,1077461.9629000002,11722.730144,4412.1285180449995,18759.285138953,353701.6847440001,241563.421165,28021.668037
World,OWID_WRL,2018,704481,1580763.1900000002,2105155.812,1115817.7929000002,12772.623743999999,5935.4329180449995,22118.111838953002,364786.6387440001,248418.829165,29995.664037
World,OWID_WRL,2019,715592,1624297.803,2158668.656,1154876.0589000003,13897.225343999999,7794.386918044999,25862.837438953004,375971.8277440001,255490.610865,32068.033137
World,OWID_WRL,2020,726703,1666531.193,2207278.301,1193479.4649000003,14970.983643999998,10038.221918045,30049.018438953004,387419.8547440001,262267.476865,34250.730437
World,OWID_WRL,2021,737814,1711096.005,2258627.957,1234150.1249000002,16113.855343999998,12810.050918044999,34900.612438953,398642.2147440001,269304.545865,36586.041937
World,OWID_WRL,2022,748925,1755950.0399999998,2311597.547,1273563.1679000002,17313.062044,16258.288218045,40388.212438953,409942.0307440001,276006.885265,38999.849537
